,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_tanh : 2_tanh,0,50,0.25,0.25,0.9,0.0001,0.0001,0.5049011831591873,0.7781111111111111,train
1,3,23 : 40_tanh : 2_tanh,0,50,0.25,0.25,0.9,0.0001,0.0001,0.500502895288595,0.7833333333333333,test
2,3,23 : 40_tanh : 2_tanh,1,50,0.24937655860349128,0.25,0.9,0.0001,0.0001,0.49335838915248886,0.7792592592592592,train
3,3,23 : 40_tanh : 2_tanh,1,50,0.24937655860349128,0.25,0.9,0.0001,0.0001,0.49010634258618857,0.784,test
4,3,23 : 40_tanh : 2_tanh,2,50,0.24875621890547267,0.25,0.9,0.0001,0.0001,0.48764006819585287,0.7785925925925926,train
5,3,23 : 40_tanh : 2_tanh,2,50,0.24875621890547267,0.25,0.9,0.0001,0.0001,0.4839337850561268,0.7833333333333333,test
6,3,23 : 40_tanh : 2_tanh,3,50,0.24813895781637715,0.25,0.9,0.0001,0.0001,0.48780992717580074,0.7783333333333333,train
7,3,23 : 40_tanh : 2_tanh,3,50,0.24813895781637715,0.25,0.9,0.0001,0.0001,0.4841275616893212,0.7833333333333333,test
8,3,23 : 40_tanh : 2_tanh,4,50,0.24752475247524752,0.25,0.9,0.0001,0.0001,0.48056142372798294,0.7783333333333333,train
9,3,23 : 40_tanh : 2_tanh,4,50,0.24752475247524752,0.25,0.9,0.0001,0.0001,0.4777870579080558,0.7833333333333333,test
10,3,23 : 40_tanh : 2_tanh,5,50,0.2469135802469136,0.25,0.9,0.0001,0.0001,0.4732343680471565,0.7783333333333333,train
11,3,23 : 40_tanh : 2_tanh,5,50,0.2469135802469136,0.25,0.9,0.0001,0.0001,0.4715298214582109,0.783,test
12,3,23 : 40_tanh : 2_tanh,6,50,0.24630541871921185,0.25,0.9,0.0001,0.0001,0.47023655347763493,0.7793333333333333,train
13,3,23 : 40_tanh : 2_tanh,6,50,0.24630541871921185,0.25,0.9,0.0001,0.0001,0.4684890319153008,0.7836666666666666,test
14,3,23 : 40_tanh : 2_tanh,7,50,0.24570024570024568,0.25,0.9,0.0001,0.0001,0.468773346113308,0.7803703703703704,train
15,3,23 : 40_tanh : 2_tanh,7,50,0.24570024570024568,0.25,0.9,0.0001,0.0001,0.4677774851144044,0.7866666666666666,test
16,3,23 : 40_tanh : 2_tanh,8,50,0.24509803921568626,0.25,0.9,0.0001,0.0001,0.46643074557112013,0.7798148148148148,train
17,3,23 : 40_tanh : 2_tanh,8,50,0.24509803921568626,0.25,0.9,0.0001,0.0001,0.4651756569844781,0.785,test
18,3,23 : 40_tanh : 2_tanh,9,50,0.24449877750611249,0.25,0.9,0.0001,0.0001,0.4698948353097754,0.7785185185185185,train
19,3,23 : 40_tanh : 2_tanh,9,50,0.24449877750611249,0.25,0.9,0.0001,0.0001,0.46725392675297206,0.7833333333333333,test
20,3,23 : 40_tanh : 2_tanh,10,50,0.24390243902439027,0.25,0.9,0.0001,0.0001,0.4679599468957216,0.7784444444444445,train
21,3,23 : 40_tanh : 2_tanh,10,50,0.24390243902439027,0.25,0.9,0.0001,0.0001,0.46490970107476254,0.7833333333333333,test
22,3,23 : 40_tanh : 2_tanh,11,50,0.24330900243309,0.25,0.9,0.0001,0.0001,0.4659910212689462,0.7808518518518518,train
