,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
39,3,23 : 40_tanh : 2_tanh,19,50,0.37174721189591076,0.4,0.9,1e-08,0.0001,,0.7833333333333333,test
40,3,23 : 40_tanh : 2_tanh,20,50,0.37037037037037035,0.4,0.9,1e-08,0.0001,,0.7782962962962963,train
41,3,23 : 40_tanh : 2_tanh,20,50,0.37037037037037035,0.4,0.9,1e-08,0.0001,,0.7833333333333333,test
42,3,23 : 40_tanh : 2_tanh,21,50,0.36900369003690037,0.4,0.9,1e-08,0.0001,,0.7782962962962963,train
43,3,23 : 40_tanh : 2_tanh,21,50,0.36900369003690037,0.4,0.9,1e-08,0.0001,,0.7833333333333333,test
0,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.4,0.4,0.9,1e-08,0.0001,0.5265388468489646,0.7782962962962963,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.4,0.4,0.9,1e-08,0.0001,0.5218210326447351,0.7833333333333333,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.39840637450199207,0.4,0.9,1e-08,0.0001,0.515455809108694,0.7782962962962963,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.39840637450199207,0.4,0.9,1e-08,0.0001,0.5090708801519427,0.7833333333333333,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.39682539682539686,0.4,0.9,1e-08,0.0001,0.4881115221661922,0.7788888888888889,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.39682539682539686,0.4,0.9,1e-08,0.0001,0.48655031429908097,0.7833333333333333,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.3952569169960474,0.4,0.9,1e-08,0.0001,0.48138869275903723,0.7782962962962963,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.3952569169960474,0.4,0.9,1e-08,0.0001,0.47754137162408067,0.7833333333333333,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.3937007874015748,0.4,0.9,1e-08,0.0001,0.4591369456450037,0.7797037037037037,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.3937007874015748,0.4,0.9,1e-08,0.0001,0.4574053433730869,0.785,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.39215686274509803,0.4,0.9,1e-08,0.0001,0.47134192527274,0.778962962962963,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.39215686274509803,0.4,0.9,1e-08,0.0001,0.4680486789060677,0.7836666666666666,test
12,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.390625,0.4,0.9,1e-08,0.0001,0.46506872423225565,0.7952222222222223,train
13,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.390625,0.4,0.9,1e-08,0.0001,0.46639151502036047,0.7976666666666666,test
14,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.38910505836575876,0.4,0.9,1e-08,0.0001,0.5848347838629081,0.6205185185185185,train
15,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.38910505836575876,0.4,0.9,1e-08,0.0001,0.5891483353283415,0.6123333333333333,test
16,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.3875968992248062,0.4,0.9,1e-08,0.0001,0.4452623779229269,0.7797777777777778,train
17,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.3875968992248062,0.4,0.9,1e-08,0.0001,0.44149176115915023,0.7843333333333333,test
18,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.3861003861003861,0.4,0.9,1e-08,0.0001,0.428638013667474,0.7799259259259259,train
19,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.3861003861003861,0.4,0.9,1e-08,0.0001,0.4256183348406152,0.7853333333333333,test
20,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.38461538461538464,0.4,0.9,1e-08,0.0001,0.5427132282527922,0.7782962962962963,train
21,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.38461538461538464,0.4,0.9,1e-08,0.0001,0.5332104122407314,0.7833333333333333,test
22,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.3831417624521073,0.4,0.9,1e-08,0.0001,0.5155508176917615,0.8028518518518518,train
23,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.3831417624521073,0.4,0.9,1e-08,0.0001,0.515938247573996,0.8053333333333333,test
24,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.3816793893129771,0.4,0.9,1e-08,0.0001,0.6298848094022262,0.3308888888888889,train
25,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.3816793893129771,0.4,0.9,1e-08,0.0001,0.6316720891402463,0.32166666666666666,test
26,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.3802281368821293,0.4,0.9,1e-08,0.0001,0.43265779216346156,0.7783333333333333,train
27,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.3802281368821293,0.4,0.9,1e-08,0.0001,0.4261630290312832,0.7833333333333333,test
28,3,23 : 40_sigmoid : 2_sigmoid,14,50,0.3787878787878788,0.4,0.9,1e-08,0.0001,0.43563668564428526,0.7782962962962963,train
