,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
0,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.3,0.9,0.0001,0.0001,0.521409312,0.778296296,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.3,0.9,0.0001,0.0001,0.513373631,0.783333333,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.299102692,0.3,0.9,0.0001,0.0001,0.521145545,0.778259259,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.299102692,0.3,0.9,0.0001,0.0001,0.516249529,0.783,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.298210736,0.3,0.9,0.0001,0.0001,0.499916168,0.778296296,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.298210736,0.3,0.9,0.0001,0.0001,0.493967381,0.783333333,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.297324083,0.3,0.9,0.0001,0.0001,0.49179236,0.778296296,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.297324083,0.3,0.9,0.0001,0.0001,0.486695305,0.783333333,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.296442688,0.3,0.9,0.0001,0.0001,0.484553555,0.778296296,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.296442688,0.3,0.9,0.0001,0.0001,0.479413521,0.783333333,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.295566502,0.3,0.9,0.0001,0.0001,0.478710118,0.778259259,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.295566502,0.3,0.9,0.0001,0.0001,0.474248502,0.783,test
12,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.294695481,0.3,0.9,0.0001,0.0001,0.476362294,0.778296296,train
13,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.294695481,0.3,0.9,0.0001,0.0001,0.471291964,0.783333333,test
14,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.293829579,0.3,0.9,0.0001,0.0001,0.472272008,0.778259259,train
15,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.293829579,0.3,0.9,0.0001,0.0001,0.468042281,0.783,test
16,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.29296875,0.3,0.9,0.0001,0.0001,0.470376303,0.778296296,train
17,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.29296875,0.3,0.9,0.0001,0.0001,0.46562731,0.783333333,test
18,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.29211295,0.3,0.9,0.0001,0.0001,0.475955598,0.779814815,train
19,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.29211295,0.3,0.9,0.0001,0.0001,0.473207129,0.785,test
20,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.291262136,0.3,0.9,0.0001,0.0001,0.464490168,0.77862963,train
21,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.291262136,0.3,0.9,0.0001,0.0001,0.460728497,0.783,test
22,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.290416263,0.3,0.9,0.0001,0.0001,0.461063793,0.778296296,train
23,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.290416263,0.3,0.9,0.0001,0.0001,0.456722934,0.783,test
24,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.28957529,0.3,0.9,0.0001,0.0001,0.469827624,0.779925926,train
25,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.28957529,0.3,0.9,0.0001,0.0001,0.467176725,0.785,test
26,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.288739172,0.3,0.9,0.0001,0.0001,0.456928429,0.778296296,train
27,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.288739172,0.3,0.9,0.0001,0.0001,0.452121971,0.783333333,test
28,3,23 : 40_sigmoid : 2_sigmoid,14,50,0.287907869,0.3,0.9,0.0001,0.0001,0.467252808,0.779703704,train
29,3,23 : 40_sigmoid : 2_sigmoid,14,50,0.287907869,0.3,0.9,0.0001,0.0001,0.464416549,0.784666667,test
30,3,23 : 40_sigmoid : 2_sigmoid,15,50,0.28708134,0.3,0.9,0.0001,0.0001,0.453533053,0.778296296,train
31,3,23 : 40_sigmoid : 2_sigmoid,15,50,0.28708134,0.3,0.9,0.0001,0.0001,0.448698387,0.783333333,test
32,3,23 : 40_sigmoid : 2_sigmoid,16,50,0.286259542,0.3,0.9,0.0001,0.0001,0.45767743,0.778296296,train
33,3,23 : 40_sigmoid : 2_sigmoid,16,50,0.286259542,0.3,0.9,0.0001,0.0001,0.451621321,0.783333333,test
34,3,23 : 40_sigmoid : 2_sigmoid,17,50,0.285442436,0.3,0.9,0.0001,0.0001,0.45542319,0.778259259,train
35,3,23 : 40_sigmoid : 2_sigmoid,17,50,0.285442436,0.3,0.9,0.0001,0.0001,0.451733038,0.783,test
36,3,23 : 40_sigmoid : 2_sigmoid,18,50,0.284629981,0.3,0.9,0.0001,0.0001,0.448009402,0.778296296,train
37,3,23 : 40_sigmoid : 2_sigmoid,18,50,0.284629981,0.3,0.9,0.0001,0.0001,0.443028791,0.783333333,test
38,3,23 : 40_sigmoid : 2_sigmoid,19,50,0.283822138,0.3,0.9,0.0001,0.0001,0.446138537,0.778296296,train
39,3,23 : 40_sigmoid : 2_sigmoid,19,50,0.283822138,0.3,0.9,0.0001,0.0001,0.441383492,0.783333333,test
40,3,23 : 40_sigmoid : 2_sigmoid,20,50,0.283018868,0.3,0.9,0.0001,0.0001,0.443887934,0.778296296,train
41,3,23 : 40_sigmoid : 2_sigmoid,20,50,0.283018868,0.3,0.9,0.0001,0.0001,0.438679603,0.783333333,test
42,3,23 : 40_sigmoid : 2_sigmoid,21,50,0.282220132,0.3,0.9,0.0001,0.0001,0.456704898,0.778296296,train
43,3,23 : 40_sigmoid : 2_sigmoid,21,50,0.282220132,0.3,0.9,0.0001,0.0001,0.449569525,0.783333333,test
44,3,23 : 40_sigmoid : 2_sigmoid,22,50,0.281425891,0.3,0.9,0.0001,0.0001,0.441417267,0.778296296,train
45,3,23 : 40_sigmoid : 2_sigmoid,22,50,0.281425891,0.3,0.9,0.0001,0.0001,0.436564254,0.783333333,test
0,4,23 : 40_tanh : 20_tanh : 2_tanh,0,50,0.3,0.3,0.9,0.0001,0.0001,0.50497933,0.778444444,train
1,4,23 : 40_tanh : 20_tanh : 2_tanh,0,50,0.3,0.3,0.9,0.0001,0.0001,0.501097975,0.784333333,test
