,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
47,3,23 : 40_tanh : 2_tanh,23,50,0.280636109,0.3,1.00E-08,0.0001,0.0001,0.496237472,0.783333333,test
48,3,23 : 40_tanh : 2_tanh,24,50,0.279850746,0.3,1.00E-08,0.0001,0.0001,0.452586288,0.778296296,train
49,3,23 : 40_tanh : 2_tanh,24,50,0.279850746,0.3,1.00E-08,0.0001,0.0001,0.446799409,0.783333333,test
50,3,23 : 40_tanh : 2_tanh,25,50,0.279069767,0.3,1.00E-08,0.0001,0.0001,0.451775876,0.778296296,train
51,3,23 : 40_tanh : 2_tanh,25,50,0.279069767,0.3,1.00E-08,0.0001,0.0001,0.445873882,0.783333333,test
0,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.3,1.00E-08,0.0001,0.0001,0.512968186,0.778296296,train
1,3,23 : 40_sigmoid : 2_sigmoid,0,50,0.3,0.3,1.00E-08,0.0001,0.0001,0.506661012,0.783333333,test
2,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.299102692,0.3,1.00E-08,0.0001,0.0001,0.501644649,0.779148148,train
3,3,23 : 40_sigmoid : 2_sigmoid,1,50,0.299102692,0.3,1.00E-08,0.0001,0.0001,0.497753174,0.784,test
4,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.298210736,0.3,1.00E-08,0.0001,0.0001,0.493150105,0.778777778,train
5,3,23 : 40_sigmoid : 2_sigmoid,2,50,0.298210736,0.3,1.00E-08,0.0001,0.0001,0.489064116,0.783666667,test
6,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.297324083,0.3,1.00E-08,0.0001,0.0001,0.488828984,0.779666667,train
7,3,23 : 40_sigmoid : 2_sigmoid,3,50,0.297324083,0.3,1.00E-08,0.0001,0.0001,0.485422248,0.784333333,test
8,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.296442688,0.3,1.00E-08,0.0001,0.0001,0.4868148,0.778888889,train
9,3,23 : 40_sigmoid : 2_sigmoid,4,50,0.296442688,0.3,1.00E-08,0.0001,0.0001,0.482732728,0.783666667,test
10,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.295566502,0.3,1.00E-08,0.0001,0.0001,0.484680688,0.779518519,train
11,3,23 : 40_sigmoid : 2_sigmoid,5,50,0.295566502,0.3,1.00E-08,0.0001,0.0001,0.481227198,0.784333333,test
12,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.294695481,0.3,1.00E-08,0.0001,0.0001,0.484866307,0.779777778,train
13,3,23 : 40_sigmoid : 2_sigmoid,6,50,0.294695481,0.3,1.00E-08,0.0001,0.0001,0.481915108,0.785333333,test
14,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.293829579,0.3,1.00E-08,0.0001,0.0001,0.478961799,0.778851852,train
15,3,23 : 40_sigmoid : 2_sigmoid,7,50,0.293829579,0.3,1.00E-08,0.0001,0.0001,0.475019347,0.784,test
16,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.29296875,0.3,1.00E-08,0.0001,0.0001,0.476722507,0.778888889,train
17,3,23 : 40_sigmoid : 2_sigmoid,8,50,0.29296875,0.3,1.00E-08,0.0001,0.0001,0.472847735,0.784,test
18,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.29211295,0.3,1.00E-08,0.0001,0.0001,0.476162697,0.778259259,train
19,3,23 : 40_sigmoid : 2_sigmoid,9,50,0.29211295,0.3,1.00E-08,0.0001,0.0001,0.471426684,0.783,test
20,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.291262136,0.3,1.00E-08,0.0001,0.0001,0.473982095,0.779703704,train
21,3,23 : 40_sigmoid : 2_sigmoid,10,50,0.291262136,0.3,1.00E-08,0.0001,0.0001,0.470567009,0.784666667,test
22,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.290416263,0.3,1.00E-08,0.0001,0.0001,0.479600682,0.779925926,train
23,3,23 : 40_sigmoid : 2_sigmoid,11,50,0.290416263,0.3,1.00E-08,0.0001,0.0001,0.476901705,0.785333333,test
24,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.28957529,0.3,1.00E-08,0.0001,0.0001,0.474946292,0.778296296,train
25,3,23 : 40_sigmoid : 2_sigmoid,12,50,0.28957529,0.3,1.00E-08,0.0001,0.0001,0.469588367,0.783333333,test
26,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.288739172,0.3,1.00E-08,0.0001,0.0001,0.472561802,0.779703704,train
27,3,23 : 40_sigmoid : 2_sigmoid,13,50,0.288739172,0.3,1.00E-08,0.0001,0.0001,0.469432784,0.784666667,test
