,number of layers,nodes per layer,epoch,batch size,learning rate,initial learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
5,4,23 : 40_tanh : 20_tanh : 2_tanh,2,50,0.04995004995004996,0.05,0.9,0.0001,0.0001,0.5251431716785195,0.7833333333333333,test
6,4,23 : 40_tanh : 20_tanh : 2_tanh,3,50,0.04992511233150274,0.05,0.9,0.0001,0.0001,0.528466057103226,0.7782962962962963,train
7,4,23 : 40_tanh : 20_tanh : 2_tanh,3,50,0.04992511233150274,0.05,0.9,0.0001,0.0001,0.5222945458694627,0.7833333333333333,test
8,4,23 : 40_tanh : 20_tanh : 2_tanh,4,50,0.0499001996007984,0.05,0.9,0.0001,0.0001,0.5257579599732017,0.7782962962962963,train
9,4,23 : 40_tanh : 20_tanh : 2_tanh,4,50,0.0499001996007984,0.05,0.9,0.0001,0.0001,0.5198590814149099,0.7833333333333333,test
10,4,23 : 40_tanh : 20_tanh : 2_tanh,5,50,0.04987531172069826,0.05,0.9,0.0001,0.0001,0.5238597902075436,0.7782962962962963,train
11,4,23 : 40_tanh : 20_tanh : 2_tanh,5,50,0.04987531172069826,0.05,0.9,0.0001,0.0001,0.5181251132551306,0.7833333333333333,test
12,4,23 : 40_tanh : 20_tanh : 2_tanh,6,50,0.04985044865403789,0.05,0.9,0.0001,0.0001,0.5225765961995487,0.7782962962962963,train
13,4,23 : 40_tanh : 20_tanh : 2_tanh,6,50,0.04985044865403789,0.05,0.9,0.0001,0.0001,0.5167842252098738,0.7833333333333333,test
0,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,0,50,0.05,0.05,0.9,0.0001,0.0001,0.5300499756514151,0.7782962962962963,train
1,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,0,50,0.05,0.05,0.9,0.0001,0.0001,0.5237840049522331,0.7833333333333333,test
2,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,1,50,0.04997501249375313,0.05,0.9,0.0001,0.0001,0.5296239109037463,0.7782962962962963,train
3,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,1,50,0.04997501249375313,0.05,0.9,0.0001,0.0001,0.5232019363808327,0.7833333333333333,test
4,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,2,50,0.04995004995004996,0.05,0.9,0.0001,0.0001,0.5296802270576778,0.7782962962962963,train
5,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,2,50,0.04995004995004996,0.05,0.9,0.0001,0.0001,0.5234119356717837,0.7833333333333333,test
6,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,3,50,0.04992511233150274,0.05,0.9,0.0001,0.0001,0.529264091071814,0.7782962962962963,train
7,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,3,50,0.04992511233150274,0.05,0.9,0.0001,0.0001,0.5227876263146777,0.7833333333333333,test
8,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,4,50,0.0499001996007984,0.05,0.9,0.0001,0.0001,0.529064972323951,0.7782962962962963,train
9,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,4,50,0.0499001996007984,0.05,0.9,0.0001,0.0001,0.5226106063259859,0.7833333333333333,test
10,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,5,50,0.04987531172069826,0.05,0.9,0.0001,0.0001,0.5289341725890113,0.7782962962962963,train
11,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,5,50,0.04987531172069826,0.05,0.9,0.0001,0.0001,0.5225933996876734,0.7833333333333333,test
12,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,6,50,0.04985044865403789,0.05,0.9,0.0001,0.0001,0.5287149810261393,0.7782962962962963,train
13,4,23 : 40_sigmoid : 20_sigmoid : 2_sigmoid,6,50,0.04985044865403789,0.05,0.9,0.0001,0.0001,0.5223229258227906,0.7833333333333333,test
0,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,0,50,0.05,0.05,0.9,0.0001,0.0001,0.5277349378922547,0.7782962962962963,train
1,5,23 : 40_tanh : 20_tanh : 10_tanh : 2_tanh,0,50,0.05,0.05,0.9,0.0001,0.0001,0.5222529860578623,0.7833333333333333,test
