,number of layers,nodes per layer,epoch,batch size,learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
38,3,23 : 40_sigmoid : 2_sigmoid,19,50,0.19108280254777066,0.9,1e-08,0.0001,0.47301245510279155,0.7876666666666666,train
39,3,23 : 40_sigmoid : 2_sigmoid,19,50,0.19108280254777066,0.9,1e-08,0.0001,0.46802484758334734,0.7873333333333333,test
40,3,23 : 40_sigmoid : 2_sigmoid,20,50,0.18749999999999997,0.9,1e-08,0.0001,0.4725163306203939,0.7882962962962963,train
41,3,23 : 40_sigmoid : 2_sigmoid,20,50,0.18749999999999997,0.9,1e-08,0.0001,0.46737743607529203,0.7876666666666666,test
42,3,23 : 40_sigmoid : 2_sigmoid,21,50,0.18404907975460122,0.9,1e-08,0.0001,0.47177064248876444,0.7915555555555556,train
43,3,23 : 40_sigmoid : 2_sigmoid,21,50,0.18404907975460122,0.9,1e-08,0.0001,0.4669384069589139,0.7903333333333333,test
44,3,23 : 40_sigmoid : 2_sigmoid,22,50,0.18072289156626503,0.9,1e-08,0.0001,0.47212895392630166,0.7885555555555556,train
45,3,23 : 40_sigmoid : 2_sigmoid,22,50,0.18072289156626503,0.9,1e-08,0.0001,0.4668433270684589,0.7876666666666666,test
46,3,23 : 40_sigmoid : 2_sigmoid,23,50,0.17751479289940825,0.9,1e-08,0.0001,0.4711659231238846,0.7937777777777778,train
47,3,23 : 40_sigmoid : 2_sigmoid,23,50,0.17751479289940825,0.9,1e-08,0.0001,0.4663864318135548,0.791,test
48,3,23 : 40_sigmoid : 2_sigmoid,24,50,0.17441860465116277,0.9,1e-08,0.0001,0.4710670421245725,0.7906666666666666,train
49,3,23 : 40_sigmoid : 2_sigmoid,24,50,0.17441860465116277,0.9,1e-08,0.0001,0.4659826325855619,0.789,test
50,3,23 : 40_sigmoid : 2_sigmoid,25,50,0.1714285714285714,0.9,1e-08,0.0001,0.4712200878495503,0.7963333333333333,train
51,3,23 : 40_sigmoid : 2_sigmoid,25,50,0.1714285714285714,0.9,1e-08,0.0001,0.46664407061331514,0.7943333333333333,test
52,3,23 : 40_sigmoid : 2_sigmoid,26,50,0.1685393258426966,0.9,1e-08,0.0001,0.47086069633356853,0.7966296296296296,train
53,3,23 : 40_sigmoid : 2_sigmoid,26,50,0.1685393258426966,0.9,1e-08,0.0001,0.46625734441575334,0.796,test
54,3,23 : 40_sigmoid : 2_sigmoid,27,50,0.16574585635359113,0.9,1e-08,0.0001,0.4704722337653529,0.7907777777777778,train
55,3,23 : 40_sigmoid : 2_sigmoid,27,50,0.16574585635359113,0.9,1e-08,0.0001,0.46530492728065664,0.7886666666666666,test
56,3,23 : 40_sigmoid : 2_sigmoid,28,50,0.16304347826086954,0.9,1e-08,0.0001,0.47008718072274863,0.7932962962962963,train
57,3,23 : 40_sigmoid : 2_sigmoid,28,50,0.16304347826086954,0.9,1e-08,0.0001,0.46513134652056454,0.7906666666666666,test
