, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
37,,Nan,50,0.0050161950815392825,test,18,0.3,0.0001,0.2846299810246679,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
38,,Nan,50,0.007474971664371952,train,19,0.3,0.0001,0.28382213812677387,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
39,,Nan,50,0.007330626367897873,test,19,0.3,0.0001,0.28382213812677387,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
40,,Nan,50,0.003851520619984102,train,20,0.3,0.0001,0.2830188679245283,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
41,,Nan,50,0.0038414123565372093,test,20,0.3,0.0001,0.2830188679245283,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
42,,Nan,50,0.004031045079056321,train,21,0.3,0.0001,0.28222013170272814,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
43,,Nan,50,0.0040177591151601974,test,21,0.3,0.0001,0.28222013170272814,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
44,,Nan,50,0.00505028429501408,train,22,0.3,0.0001,0.28142589118198874,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
45,,Nan,50,0.005031618811272899,test,22,0.3,0.0001,0.28142589118198874,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
46,,Nan,50,0.004051811741102002,train,23,0.3,0.0001,0.2806361085126286,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
47,,Nan,50,0.0038966947016972377,test,23,0.3,0.0001,0.2806361085126286,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
48,,Nan,50,0.007253171954895354,train,24,0.3,0.0001,0.2798507462686567,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
49,,Nan,50,0.00732688932801563,test,24,0.3,0.0001,0.2798507462686567,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
50,,Nan,50,0.004154343148306131,train,25,0.3,0.0001,0.27906976744186046,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
51,,Nan,50,0.003981680816619655,test,25,0.3,0.0001,0.27906976744186046,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
52,,Nan,50,0.005126186285650342,train,26,0.3,0.0001,0.27829313543599254,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
53,,Nan,50,0.005171145765084814,test,26,0.3,0.0001,0.27829313543599254,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
54,,Nan,50,0.004478843974093546,train,27,0.3,0.0001,0.27752081406105455,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
55,,Nan,50,0.004305605252458776,test,27,0.3,0.0001,0.27752081406105455,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
56,,Nan,50,0.004722249056861241,train,28,0.3,0.0001,0.27675276752767525,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
