,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
38,Nan,50,0.005745347274686531,test,19,0.4,1e-06,0.37174721189591076,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
39,Nan,50,0.005188187434495595,train,19,0.4,1e-06,0.37174721189591076,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
40,Nan,50,0.005434280672548045,test,20,0.4,1e-06,0.37037037037037035,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
41,Nan,50,0.004311656319254236,train,20,0.4,1e-06,0.37037037037037035,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
42,Nan,50,0.005833904566630421,test,21,0.4,1e-06,0.36900369003690037,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
43,Nan,50,0.0046574881309788645,train,21,0.4,1e-06,0.36900369003690037,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
44,Nan,50,0.005272947297543344,test,22,0.4,1e-06,0.3676470588235294,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
45,Nan,50,0.004432864628687578,train,22,0.4,1e-06,0.3676470588235294,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
46,Nan,50,0.005019482772847306,test,23,0.4,1e-06,0.3663003663003663,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
47,Nan,50,0.004131846626698257,train,23,0.4,1e-06,0.3663003663003663,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
48,Nan,50,0.005691078758159218,test,24,0.4,1e-06,0.36496350364963503,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
49,Nan,50,0.004688807199590873,train,24,0.4,1e-06,0.36496350364963503,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
50,Nan,50,0.005305249488792248,test,25,0.4,1e-06,0.36363636363636365,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
51,Nan,50,0.004332235711184012,train,25,0.4,1e-06,0.36363636363636365,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
52,Nan,50,0.004867462264900952,test,26,0.4,1e-06,0.36231884057971014,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
53,Nan,50,0.003899365227033394,train,26,0.4,1e-06,0.36231884057971014,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
54,Nan,50,0.004907623289780123,test,27,0.4,1e-06,0.3610108303249097,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
55,Nan,50,0.00421298237269565,train,27,0.4,1e-06,0.3610108303249097,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
56,Nan,50,0.0051367708921097955,test,28,0.4,1e-06,0.3597122302158273,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
57,Nan,50,0.004509771097841541,train,28,0.4,1e-06,0.3597122302158273,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
58,Nan,50,0.005023524987380212,test,29,0.4,1e-06,0.35842293906810035,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
59,Nan,50,0.0041783084783964895,train,29,0.4,1e-06,0.35842293906810035,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
60,Nan,50,0.004525431041420003,test,30,0.4,1e-06,0.35714285714285715,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
61,Nan,50,0.0037623885527176227,train,30,0.4,1e-06,0.35714285714285715,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
62,Nan,50,0.00489368089867836,test,31,0.4,1e-06,0.3558718861209964,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
63,Nan,50,0.0038795158821484897,train,31,0.4,1e-06,0.3558718861209964,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
64,Nan,50,0.004722818772415154,test,32,0.4,1e-06,0.35460992907801414,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
65,Nan,50,0.003985662086851983,train,32,0.4,1e-06,0.35460992907801414,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
66,Nan,50,0.0048207781347069534,test,33,0.4,1e-06,0.3533568904593639,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
67,Nan,50,0.004168894993879469,train,33,0.4,1e-06,0.3533568904593639,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
68,Nan,50,0.004535056114943185,test,34,0.4,1e-06,0.352112676056338,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
69,Nan,50,0.003956605748769017,train,34,0.4,1e-06,0.352112676056338,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
70,Nan,50,0.0027232047705202968,validation,34,0.4,1e-06,0.352112676056338,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
71,Nan,50,0.004825394630243345,test,35,0.4,1e-06,0.3508771929824561,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
72,Nan,50,0.0038900012539013393,train,35,0.4,1e-06,0.3508771929824561,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
73,Nan,50,0.0045022169251063004,test,36,0.4,1e-06,0.34965034965034963,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
74,Nan,50,0.0038711850339604777,train,36,0.4,1e-06,0.34965034965034963,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
75,Nan,50,0.004422020174095624,test,37,0.4,1e-06,0.3484320557491289,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
76,Nan,50,0.003668967103268611,train,37,0.4,1e-06,0.3484320557491289,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
77,Nan,50,0.002207198911451877,validation,37,0.4,1e-06,0.3484320557491289,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
78,Nan,50,0.005174950408760343,test,38,0.4,1e-06,0.3472222222222222,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
79,Nan,50,0.0037781570944995773,train,38,0.4,1e-06,0.3472222222222222,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
80,Nan,50,0.005246377899037339,test,39,0.4,1e-06,0.3460207612456747,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
81,Nan,50,0.0040575101096203695,train,39,0.4,1e-06,0.3460207612456747,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
82,Nan,50,0.0050466687355462635,test,40,0.4,1e-06,0.3448275862068965,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
83,Nan,50,0.0037866141620624505,train,40,0.4,1e-06,0.3448275862068965,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
84,Nan,50,0.005014220858324401,test,41,0.4,1e-06,0.3436426116838488,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
85,Nan,50,0.0037680580036512077,train,41,0.4,1e-06,0.3436426116838488,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
86,Nan,50,0.004141388874125734,test,42,0.4,1e-06,0.3424657534246575,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
87,Nan,50,0.003546012749644366,train,42,0.4,1e-06,0.3424657534246575,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
88,Nan,50,0.005240675608691216,test,43,0.4,1e-06,0.341296928327645,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
89,Nan,50,0.003975739575392244,train,43,0.4,1e-06,0.341296928327645,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
90,Nan,50,0.004518262431621641,test,44,0.4,1e-06,0.3401360544217687,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
91,Nan,50,0.003838725339914263,train,44,0.4,1e-06,0.3401360544217687,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
92,Nan,50,0.0063908577946824386,validation,44,0.4,1e-06,0.3401360544217687,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
93,Nan,50,0.004856953920253579,test,45,0.4,1e-06,0.3389830508474576,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
94,Nan,50,0.0037926931752144794,train,45,0.4,1e-06,0.3389830508474576,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
95,Nan,50,0.005238278965206936,test,46,0.4,1e-06,0.33783783783783783,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
96,Nan,50,0.003993146058888325,train,46,0.4,1e-06,0.33783783783783783,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
97,Nan,50,0.0045371285247280835,test,47,0.4,1e-06,0.33670033670033667,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
98,Nan,50,0.003730536615527118,train,47,0.4,1e-06,0.33670033670033667,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
99,Nan,50,0.004294410314236102,test,48,0.4,1e-06,0.3355704697986577,0.9,20 : 40_tanh : 1_tanh,3,5.0,0.0001
